COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,LEAVE
zero,30114,0,64,386716,227,1,1,very_sat,little,perhaps,STAY
zero,85808,46,0,627508,321,5,15,very_sat,little,no,STAY
one,114972,28,17,853228,231,4,2,very_sat,little,considering,STAY
one,46604,226,0,769054,230,0,8,very_unsat,very_high,actively_looking_into_it,STAY
zero,38186,240,54,651250,133,26,2,very_unsat,very_high,actively_looking_into_it,STAY
one,55409,0,14,295128,252,0,4,very_unsat,very_high,actively_looking_into_it,STAY
one,67625,0,14,609402,278,0,5,very_unsat,little,considering,LEAVE
one,54455,75,0,186436,382,4,12,very_unsat,very_little,no,STAY
zero,51910,45,0,877599,375,3,10,very_sat,avg,considering,STAY
one,42875,0,25,300495,230,22,1,very_sat,very_high,considering,LEAVE
one,57636,0,70,623399,354,0,2,very_unsat,little,no,STAY
zero,22955,231,12,762471,220,21,5,very_unsat,very_high,actively_looking_into_it,STAY
zero,48266,69,0,731877,633,4,11,very_unsat,little,considering,STAY
one,49667,0,40,361927,185,0,1,very_unsat,very_little,never_thought,STAY
zero,83153,157,23,787897,241,22,6,unsat,little,considering,STAY
zero,72367,201,55,920142,367,20,2,avg,high,considering,STAY
one,124571,84,18,462701,159,5,4,unsat,very_little,never_thought,LEAVE
one,150303,0,23,586587,670,0,5,unsat,very_high,no,STAY
one,111479,50,0,687056,437,5,15,very_unsat,very_high,perhaps,STAY
one,27859,0,18,518896,155,0,6,sat,very_little,actively_looking_into_it,STAY
one,115605,176,33,303528,719,24,2,very_sat,little,no,LEAVE
one,95807,50,0,723671,399,3,13,avg,very_high,never_thought,STAY
zero,49200,0,82,567089,205,0,2,unsat,very_high,considering,STAY
zero,40377,52,20,882329,350,5,5,very_sat,high,considering,STAY
one,32702,0,11,177059,205,0,2,very_sat,very_little,no,STAY
one,70901,37,0,264440,385,5,13,very_sat,little,considering,STAY
zero,109367,79,55,376782,673,5,1,very_sat,very_high,never_thought,LEAVE
zero,123780,54,0,846631,733,4,12,very_unsat,little,considering,STAY
one,35204,62,33,352464,189,21,15,avg,little,actively_looking_into_it,STAY
zero,36798,36,6,292353,150,3,6,very_sat,little,perhaps,STAY
one,65855,192,35,270021,308,22,1,very_unsat,little,considering,STAY
zero,137730,34,8,420226,599,4,4,unsat,high,actively_looking_into_it,STAY
zero,139546,199,82,191616,790,23,1,very_unsat,very_little,considering,STAY
one,23425,75,23,186354,212,3,5,avg,very_little,considering,STAY
zero,27706,0,0,474581,145,21,11,very_sat,avg,actively_looking_into_it,LEAVE
zero,141597,236,54,434961,684,18,2,avg,little,no,STAY
one,129643,0,36,196698,684,0,1,unsat,high,considering,LEAVE
zero,22354,0,9,168711,231,1,6,very_unsat,very_high,no,STAY
one,43701,193,0,173906,148,21,2,unsat,very_high,considering,LEAVE
zero,98396,91,10,187457,371,5,2,unsat,little,never_thought,LEAVE
one,65214,197,0,479829,319,27,12,very_unsat,avg,considering,LEAVE
one,103448,40,24,993878,558,3,4,unsat,very_high,actively_looking_into_it,STAY
zero,144388,0,23,283622,480,1,4,very_unsat,little,actively_looking_into_it,STAY
one,154961,171,24,466530,557,25,6,very_unsat,very_high,considering,STAY
one,77536,33,25,512039,381,5,1,very_unsat,very_high,no,LEAVE
one,78318,0,14,833803,314,1,4,very_unsat,very_high,actively_looking_into_it,STAY
one,33053,0,82,639125,197,1,1,unsat,very_little,actively_looking_into_it,STAY
zero,56920,56,20,182831,383,4,4,very_sat,very_little,actively_looking_into_it,LEAVE
one,24621,0,13,211476,175,1,2,very_unsat,very_little,considering,STAY
one,95496,74,10,439098,273,3,6,avg,little,no,STAY
one,114768,0,0,724116,485,0,9,very_sat,very_high,actively_looking_into_it,LEAVE
zero,92050,0,43,551350,291,1,1,avg,little,considering,STAY
one,123926,202,12,324246,860,19,6,very_sat,little,actively_looking_into_it,STAY
one,130161,0,7,458487,850,1,4,very_unsat,little,actively_looking_into_it,STAY
one,121438,207,16,543255,603,1,6,very_unsat,little,actively_looking_into_it,LEAVE
one,21858,159,14,337654,137,18,4,very_sat,little,actively_looking_into_it,STAY
one,109254,62,0,539456,567,4,12,very_unsat,very_high,considering,STAY
zero,138070,239,0,435510,706,21,15,very_sat,very_high,considering,LEAVE
one,141755,69,21,696695,802,3,14,very_sat,little,considering,STAY
zero,36290,239,24,709763,160,4,5,avg,little,no,STAY
zero,38649,219,10,300947,149,20,5,very_sat,little,actively_looking_into_it,LEAVE
zero,43890,0,0,275901,177,1,11,very_unsat,high,no,STAY
zero,113381,0,23,866787,864,0,5,avg,high,actively_looking_into_it,STAY
one,35296,0,0,960791,182,1,11,unsat,very_high,considering,LEAVE
one,22894,0,6,587105,145,0,6,unsat,little,considering,LEAVE
zero,156281,169,0,558800,610,16,9,unsat,very_little,actively_looking_into_it,LEAVE
one,54833,69,0,541065,378,4,14,avg,very_little,no,STAY
one,69605,71,0,292979,602,4,8,sat,very_little,considering,STAY
zero,36693,191,0,831023,134,5,14,very_unsat,very_high,considering,STAY
zero,65988,0,38,671507,382,1,1,very_unsat,very_high,perhaps,STAY
one,92346,60,7,403928,369,5,13,very_sat,very_little,considering,LEAVE
zero,154749,206,27,523676,652,17,1,avg,little,perhaps,STAY
zero,134513,41,0,253245,442,4,11,very_sat,little,actively_looking_into_it,STAY
zero,33962,0,23,979571,221,3,6,very_sat,very_high,considering,STAY
one,82793,73,24,834583,371,5,11,very_unsat,very_high,no,STAY
one,133356,129,23,764249,151,18,4,very_unsat,little,no,LEAVE
zero,156246,47,9,552339,444,4,5,very_sat,very_little,no,STAY
one,32453,0,19,374316,143,1,4,very_unsat,very_high,considering,STAY
zero,20514,0,0,342611,239,5,14,very_unsat,little,considering,STAY
one,103966,0,71,812216,801,1,1,sat,very_high,actively_looking_into_it,STAY
zero,41926,0,20,406032,219,0,4,very_sat,avg,no,STAY
one,44468,232,12,180545,131,5,6,unsat,very_little,perhaps,LEAVE
one,58564,0,0,294944,375,0,15,very_unsat,little,considering,LEAVE
zero,119904,0,21,457141,839,4,2,avg,very_little,considering,STAY
zero,26691,0,18,318533,183,21,6,very_unsat,little,never_thought,STAY
one,72120,0,79,178102,358,0,2,very_unsat,very_high,actively_looking_into_it,STAY
zero,104510,61,79,617497,169,3,2,very_unsat,very_high,actively_looking_into_it,STAY
zero,83044,144,0,287862,322,20,12,very_unsat,very_little,considering,STAY
one,58538,214,18,910657,277,27,5,very_unsat,little,considering,STAY
zero,41482,191,0,936609,244,25,6,unsat,little,perhaps,STAY
one,20975,0,18,978899,197,1,6,very_sat,little,never_thought,STAY
zero,49897,0,16,361467,222,0,4,very_sat,very_high,considering,STAY
one,88277,180,0,749361,374,18,10,very_sat,little,considering,STAY
zero,34525,162,0,299391,203,13,10,avg,very_little,considering,LEAVE
zero,107221,0,72,234357,700,0,1,sat,very_high,considering,STAY
one,148206,0,0,572708,808,0,15,very_unsat,little,actively_looking_into_it,STAY
zero,39952,206,47,150015,164,19,1,very_unsat,little,perhaps,LEAVE
one,157540,47,0,735082,878,5,9,very_unsat,little,never_thought,STAY
one,132715,0,21,551097,500,0,4,sat,little,considering,STAY
one,47206,53,0,557333,217,5,9,very_unsat,little,considering,STAY
zero,66207,78,36,636499,272,5,2,very_unsat,very_high,considering,STAY
zero,44374,203,60,680618,206,10,4,very_unsat,avg,never_thought,STAY
zero,113175,60,0,826346,487,4,12,unsat,little,no,STAY
zero,52664,77,18,239846,308,5,5,very_sat,very_high,considering,STAY
zero,39609,199,14,905268,143,20,4,very_unsat,very_high,never_thought,STAY
zero,121720,47,0,559530,548,5,11,very_sat,little,considering,STAY
one,92666,220,34,526328,300,15,1,very_sat,very_little,actively_looking_into_it,LEAVE
one,95511,51,0,836285,341,4,11,unsat,very_high,no,STAY
one,25928,0,26,726235,170,0,2,very_sat,very_little,never_thought,STAY
zero,74019,43,16,552741,376,4,4,unsat,little,considering,STAY
one,137286,129,5,512732,776,21,6,very_unsat,little,never_thought,LEAVE
one,21915,195,0,249800,240,19,9,very_unsat,little,considering,STAY
zero,21870,0,21,409547,166,1,5,very_unsat,very_high,considering,STAY
zero,91657,196,0,832021,303,22,14,very_unsat,very_little,considering,STAY
one,30415,0,19,184883,212,1,6,very_unsat,avg,considering,STAY
zero,40631,0,13,750091,178,0,4,very_unsat,little,considering,STAY
one,125423,0,0,204950,708,1,10,unsat,little,never_thought,STAY
one,73447,0,6,389898,289,28,4,very_unsat,high,no,STAY
one,107633,75,0,878253,894,5,13,very_unsat,little,perhaps,STAY
zero,125362,216,0,725852,742,10,1,very_sat,high,never_thought,LEAVE
one,30133,0,14,237721,171,0,4,very_sat,little,considering,STAY
one,48649,160,45,809812,216,13,1,very_unsat,very_high,considering,STAY
zero,79025,0,0,869070,361,1,8,very_unsat,very_high,considering,STAY
one,82405,77,0,880589,303,4,9,unsat,little,actively_looking_into_it,STAY
zero,155204,175,8,242901,275,4,13,unsat,high,actively_looking_into_it,STAY
zero,45342,76,14,984178,881,17,4,unsat,very_high,considering,STAY
one,64274,147,64,897573,379,0,2,avg,little,actively_looking_into_it,STAY
one,78419,0,16,271632,326,15,6,very_unsat,avg,never_thought,STAY
zero,103146,63,5,283872,679,3,13,sat,little,perhaps,LEAVE
zero,85277,178,11,986385,270,22,8,very_unsat,little,no,STAY
zero,98064,49,54,295639,317,3,2,unsat,very_high,no,LEAVE
zero,21762,0,15,259885,156,0,5,avg,high,never_thought,STAY
one,148787,64,0,207578,886,4,9,unsat,very_high,actively_looking_into_it,LEAVE
zero,127968,169,22,838390,855,1,1,unsat,very_high,considering,LEAVE
zero,91597,0,38,735153,870,1,2,unsat,high,actively_looking_into_it,STAY
zero,41396,35,0,211014,532,5,10,avg,very_little,actively_looking_into_it,LEAVE
zero,65176,82,17,778888,375,5,6,very_sat,very_high,no,STAY
one,113879,43,0,365084,298,3,5,unsat,little,no,STAY
zero,141855,0,10,227280,758,1,4,unsat,high,actively_looking_into_it,STAY
zero,34741,72,16,513913,139,3,5,very_unsat,very_high,considering,STAY
one,73711,217,0,646492,346,22,11,very_sat,very_high,considering,STAY
one,86440,44,12,188892,151,1,4,very_sat,little,actively_looking_into_it,STAY
one,24276,66,29,468977,192,0,2,unsat,avg,considering,LEAVE
zero,70831,207,24,951952,290,27,4,very_sat,very_high,no,STAY
zero,63628,165,0,501172,395,10,10,very_unsat,little,considering,LEAVE
zero,65390,73,0,254783,349,5,8,very_unsat,very_little,considering,STAY
zero,116942,0,5,527105,897,1,4,very_sat,little,actively_looking_into_it,STAY
zero,27027,0,0,640621,148,1,9,unsat,very_little,no,STAY
zero,48591,215,22,745739,211,14,4,very_sat,avg,actively_looking_into_it,STAY
one,77340,216,0,609045,388,27,6,very_sat,little,no,STAY
zero,136719,0,62,267921,674,0,2,unsat,very_high,considering,STAY
one,75173,195,12,641699,255,11,10,unsat,little,no,STAY
one,105242,0,60,472534,477,0,1,very_unsat,little,no,STAY
zero,62821,64,0,167837,379,22,9,very_unsat,very_high,considering,LEAVE
zero,40608,0,0,758737,199,0,13,very_unsat,little,never_thought,STAY
one,50818,177,21,249041,295,11,5,very_unsat,little,actively_looking_into_it,LEAVE
one,138257,80,28,833874,383,4,2,very_unsat,high,no,LEAVE
one,21828,188,87,801794,132,4,1,avg,very_high,considering,LEAVE
zero,21750,198,0,813480,277,25,2,very_unsat,avg,actively_looking_into_it,STAY
zero,73824,96,71,875007,399,5,2,sat,avg,actively_looking_into_it,STAY
one,35124,71,0,700036,572,3,12,very_unsat,very_little,actively_looking_into_it,STAY
one,147479,0,22,295903,768,1,5,unsat,little,actively_looking_into_it,STAY
one,61886,205,10,373066,337,10,6,very_unsat,little,actively_looking_into_it,STAY
one,36724,0,19,150873,159,1,4,very_unsat,little,considering,STAY
one,157588,0,11,174095,830,1,5,very_unsat,little,considering,STAY
zero,101357,71,13,251626,440,5,5,very_sat,very_little,considering,STAY
one,63004,53,65,586387,335,3,1,very_unsat,very_high,actively_looking_into_it,STAY
zero,63531,190,24,741085,275,14,5,unsat,very_little,never_thought,STAY
one,31416,0,37,249165,322,0,2,very_unsat,little,actively_looking_into_it,STAY
zero,36838,0,0,968718,192,1,5,very_sat,very_little,no,STAY
zero,109268,32,0,258512,435,4,13,avg,little,actively_looking_into_it,STAY
zero,28136,200,0,787611,138,3,1,unsat,little,actively_looking_into_it,STAY
one,145452,0,21,527867,572,0,4,very_unsat,avg,actively_looking_into_it,STAY
zero,44779,0,49,939773,208,1,1,unsat,high,actively_looking_into_it,STAY
one,126783,213,8,818284,525,25,5,very_unsat,high,never_thought,LEAVE
one,23508,0,0,185149,193,0,13,very_unsat,very_little,actively_looking_into_it,STAY
one,34980,0,0,268958,186,0,13,sat,high,no,STAY
zero,139660,58,0,822193,555,4,10,avg,very_high,considering,LEAVE
one,100631,257,0,433947,685,19,14,avg,little,considering,STAY
one,60909,212,8,641085,138,13,6,very_sat,avg,actively_looking_into_it,STAY
one,47594,234,22,611637,143,12,5,very_unsat,very_high,never_thought,LEAVE
zero,31169,207,12,275832,261,26,5,unsat,very_high,considering,STAY
zero,109354,66,19,766837,846,4,6,very_unsat,little,considering,STAY
zero,31467,52,0,419862,169,4,2,very_unsat,avg,considering,LEAVE
one,25431,0,55,707029,204,1,2,very_unsat,little,considering,LEAVE
one,113603,248,30,996404,652,24,1,very_unsat,little,considering,LEAVE
zero,66995,0,0,251737,254,3,14,very_unsat,very_high,never_thought,STAY
one,20497,226,0,379133,238,11,11,very_sat,little,never_thought,LEAVE
zero,97739,43,44,904894,341,4,2,very_unsat,little,considering,STAY
one,84323,200,19,972914,254,27,1,very_sat,very_little,never_thought,STAY
one,42293,64,15,695894,236,5,5,very_sat,little,actively_looking_into_it,STAY
zero,20017,0,0,721950,236,0,5,very_unsat,very_little,never_thought,STAY
one,154608,0,0,239443,811,1,14,unsat,little,considering,LEAVE
zero,94580,0,20,208193,300,0,5,unsat,little,considering,STAY
zero,20301,198,9,775148,236,10,5,unsat,very_high,considering,STAY
zero,91584,227,24,649835,293,12,6,very_unsat,high,actively_looking_into_it,STAY
zero,49306,161,0,308649,194,15,14,avg,very_high,actively_looking_into_it,LEAVE
zero,31515,83,0,543734,236,4,11,very_sat,very_little,considering,STAY
zero,119299,0,87,681571,512,15,2,avg,little,actively_looking_into_it,STAY
one,48875,0,11,198589,231,1,6,very_unsat,very_high,considering,STAY
one,97754,97,45,937656,286,4,1,very_sat,avg,never_thought,STAY
zero,24471,0,18,497977,437,0,5,very_unsat,very_high,no,STAY
one,158112,0,12,151098,626,1,5,very_sat,little,actively_looking_into_it,STAY
zero,60429,46,55,647062,328,4,1,very_unsat,little,actively_looking_into_it,STAY
zero,127428,205,0,216796,233,15,11,very_unsat,little,actively_looking_into_it,LEAVE
zero,29965,230,12,925198,148,29,5,very_unsat,little,perhaps,STAY
zero,110377,0,17,189348,580,0,6,very_sat,very_high,considering,STAY
one,59863,235,79,284909,272,15,2,very_sat,very_high,actively_looking_into_it,STAY
one,93526,92,26,388036,389,4,2,very_sat,very_high,considering,STAY
zero,46723,0,0,334592,711,1,8,unsat,little,considering,LEAVE
one,75259,172,12,356799,381,12,4,unsat,little,actively_looking_into_it,LEAVE
zero,34330,0,76,651636,209,0,1,very_unsat,very_high,considering,STAY
one,70565,46,18,711251,250,3,4,very_unsat,high,actively_looking_into_it,STAY
zero,53811,185,9,581534,304,19,2,very_unsat,very_high,no,LEAVE
zero,23202,216,52,725422,189,17,2,very_unsat,very_high,perhaps,STAY
one,118192,0,53,531195,776,0,2,very_unsat,little,no,STAY
one,98586,0,72,396624,348,3,2,avg,very_little,considering,LEAVE
one,53420,81,23,697118,396,4,1,unsat,avg,perhaps,STAY
one,39362,0,12,437697,212,0,4,very_unsat,very_high,actively_looking_into_it,STAY
zero,47280,164,0,865723,155,14,14,unsat,high,considering,STAY
one,69421,54,11,719881,259,19,4,unsat,little,actively_looking_into_it,STAY
one,45473,213,50,969967,175,23,2,unsat,little,no,STAY
zero,55114,0,0,952789,391,1,8,unsat,avg,considering,STAY
one,32064,44,27,186353,185,0,2,sat,avg,perhaps,LEAVE
one,150133,172,64,618331,776,18,2,unsat,avg,considering,STAY
one,87921,206,15,747545,356,25,5,very_sat,very_high,no,STAY
zero,40535,0,12,298742,235,1,5,avg,little,never_thought,STAY
zero,49365,163,0,748364,157,16,8,unsat,very_little,considering,STAY
one,47113,0,6,988310,192,0,4,very_sat,very_high,actively_looking_into_it,STAY
zero,157438,0,0,186584,353,1,14,very_unsat,little,no,LEAVE
zero,65176,240,0,201001,356,4,14,unsat,little,actively_looking_into_it,STAY
zero,39028,0,35,834824,159,3,2,very_unsat,very_high,no,STAY
one,111171,202,48,572241,896,10,2,very_sat,very_high,considering,LEAVE
zero,43486,212,0,927082,211,22,12,avg,high,actively_looking_into_it,STAY
zero,64404,0,24,269768,345,1,5,unsat,little,considering,STAY
zero,94662,0,17,246065,375,1,6,unsat,little,actively_looking_into_it,STAY
one,42178,0,82,701607,168,5,4,very_sat,avg,no,STAY
one,71092,0,0,303478,311,0,12,very_unsat,little,no,STAY
one,58113,81,5,690498,190,5,4,very_unsat,very_high,no,STAY
zero,86882,0,16,819227,172,0,6,very_sat,very_high,no,STAY
zero,124258,64,15,541562,649,4,4,very_unsat,very_little,considering,LEAVE
one,98576,214,0,532305,311,11,15,very_sat,little,considering,STAY
zero,23553,244,0,926178,158,4,5,very_unsat,very_little,actively_looking_into_it,STAY
one,31864,0,20,898603,160,1,4,unsat,very_high,considering,STAY
one,106582,150,58,710620,891,23,2,very_unsat,little,perhaps,LEAVE
zero,76997,0,21,234577,297,14,5,very_unsat,little,perhaps,STAY
one,130664,0,12,189991,835,0,5,very_sat,little,considering,STAY
one,128323,56,71,745856,820,11,2,very_unsat,little,considering,STAY
one,83192,239,18,176544,166,18,6,sat,high,actively_looking_into_it,LEAVE
zero,106784,192,52,644249,191,13,1,unsat,very_high,considering,STAY
one,144595,90,0,249556,823,4,13,unsat,little,considering,STAY
zero,125511,0,0,162564,619,0,1,very_sat,high,considering,LEAVE
one,98930,66,38,739734,299,4,2,avg,very_high,no,STAY
one,89172,0,10,538476,325,1,5,unsat,very_high,actively_looking_into_it,STAY
zero,38908,220,22,175872,153,19,4,sat,very_high,considering,STAY
zero,43640,157,26,917354,222,16,2,very_unsat,very_high,no,STAY
one,57433,0,36,364816,139,0,1,very_sat,little,considering,STAY
zero,96843,0,0,886848,321,0,8,avg,little,considering,STAY
zero,79677,154,0,897878,318,19,8,very_unsat,very_little,considering,STAY
zero,133484,0,13,937197,493,20,4,avg,very_little,considering,STAY
one,41359,0,0,836824,146,1,15,very_unsat,very_little,never_thought,STAY
one,45806,79,0,746182,260,3,11,avg,very_high,considering,STAY
one,33327,51,7,269628,175,3,4,very_unsat,very_high,considering,STAY
zero,153952,0,9,268118,818,0,4,very_sat,little,no,STAY
zero,48146,69,0,211529,197,3,15,unsat,high,never_thought,STAY
one,78363,0,55,893932,389,5,2,very_unsat,very_high,never_thought,STAY
zero,20190,63,0,865109,167,5,12,unsat,very_little,no,STAY
zero,45082,51,0,487128,247,5,15,very_unsat,very_little,never_thought,STAY
zero,29401,53,80,269962,158,4,2,very_unsat,little,actively_looking_into_it,STAY
zero,123366,0,20,177893,494,1,4,very_unsat,little,no,STAY
one,23354,0,0,628170,178,1,15,very_sat,little,considering,STAY
one,68154,219,0,250723,135,18,9,very_unsat,little,considering,LEAVE
one,81906,65,0,567339,387,4,10,very_unsat,little,no,STAY
one,87608,68,0,518392,370,3,12,very_unsat,high,considering,STAY
one,35146,58,0,229779,231,5,5,very_unsat,very_high,considering,LEAVE
zero,33554,79,0,292628,182,4,15,very_unsat,little,considering,STAY
one,51014,83,0,222544,299,5,10,very_unsat,very_little,no,STAY
zero,27233,231,8,783838,169,18,6,unsat,very_high,no,STAY
one,51331,0,0,739595,317,1,14,unsat,very_high,considering,STAY
zero,25245,28,0,694133,211,3,10,very_sat,very_high,considering,STAY
zero,138894,0,0,261169,531,0,1,very_sat,very_little,perhaps,STAY
one,41511,163,5,935854,216,13,6,very_sat,very_high,actively_looking_into_it,STAY
zero,37134,52,26,153571,168,5,2,very_sat,little,no,LEAVE
zero,82687,196,68,653992,460,25,1,unsat,very_little,never_thought,STAY
zero,29946,217,0,823153,248,24,10,very_sat,little,no,STAY
one,81431,69,24,386640,370,3,5,very_unsat,little,never_thought,STAY
zero,81056,52,12,255330,292,3,4,avg,high,no,LEAVE
zero,32377,0,75,969298,167,5,1,unsat,very_little,perhaps,STAY
one,31032,178,75,196956,504,18,2,avg,very_high,no,LEAVE
zero,24863,178,0,575270,132,11,8,unsat,very_little,never_thought,LEAVE
zero,39178,0,7,174755,163,0,6,unsat,high,considering,STAY
zero,49852,172,0,673022,241,10,1,unsat,very_high,considering,STAY
one,107126,71,82,237397,609,5,2,very_sat,very_little,no,STAY
one,41306,223,0,176972,202,22,12,very_unsat,avg,perhaps,STAY
zero,148916,0,16,371694,555,3,4,very_unsat,very_high,actively_looking_into_it,STAY
one,139262,0,0,475897,502,20,14,sat,very_high,actively_looking_into_it,LEAVE
zero,103756,56,12,993503,826,10,5,very_unsat,avg,no,LEAVE
one,139699,0,23,223309,366,1,4,avg,very_little,actively_looking_into_it,STAY
zero,144698,0,5,445482,892,1,2,very_unsat,very_little,considering,STAY
one,148366,0,26,156888,870,1,2,very_unsat,little,considering,STAY
one,75357,190,79,893019,384,15,1,very_sat,little,actively_looking_into_it,STAY
one,69501,0,21,642082,292,0,4,very_unsat,very_high,considering,STAY
zero,62588,191,73,254875,237,20,1,very_unsat,very_high,considering,STAY
zero,30278,37,0,150499,143,4,14,sat,little,actively_looking_into_it,STAY
one,141097,48,18,690350,282,5,4,unsat,high,considering,STAY
zero,73790,43,42,240967,280,5,2,very_unsat,very_high,no,STAY
zero,49049,0,78,277671,180,1,1,very_unsat,very_little,considering,STAY
one,147289,168,37,183605,539,28,2,very_sat,very_high,no,STAY
one,155557,0,23,412135,439,0,6,very_unsat,very_little,considering,STAY
one,20767,0,0,565740,142,0,13,unsat,little,considering,STAY
one,108694,78,5,869968,427,3,4,very_unsat,little,actively_looking_into_it,STAY
zero,114207,0,0,244558,451,1,15,avg,very_high,perhaps,STAY
zero,105890,73,7,397776,820,25,14,avg,little,considering,STAY
zero,122109,62,0,558108,674,4,13,avg,very_little,considering,STAY
zero,63040,58,0,652293,307,5,14,very_sat,very_high,considering,STAY
one,38600,169,11,649438,130,28,4,very_sat,very_high,actively_looking_into_it,STAY
one,35273,231,22,781769,193,12,4,very_sat,very_high,perhaps,STAY
one,88103,155,0,990506,133,25,11,very_unsat,little,considering,STAY
zero,109767,29,20,218567,276,4,6,very_unsat,little,actively_looking_into_it,STAY
zero,108036,46,0,760411,780,5,9,unsat,very_high,considering,STAY
one,86257,0,24,153593,327,0,5,unsat,very_high,considering,STAY
zero,156086,190,0,559420,815,23,15,very_sat,little,considering,STAY
one,53643,35,78,777336,302,5,1,unsat,very_little,actively_looking_into_it,STAY
one,84550,48,16,891128,363,5,4,sat,high,considering,STAY
zero,95734,0,27,951798,292,1,1,very_unsat,very_little,actively_looking_into_it,STAY
one,51395,53,20,988617,325,3,6,very_sat,little,never_thought,STAY
one,91244,43,0,861368,362,4,13,very_unsat,very_high,actively_looking_into_it,STAY
zero,86098,247,0,590338,257,27,15,very_unsat,very_high,considering,LEAVE
one,66800,192,23,985431,251,13,4,unsat,very_high,considering,STAY
one,52103,44,9,888300,265,25,14,very_unsat,very_little,actively_looking_into_it,STAY
one,31147,66,0,681793,237,5,15,very_sat,high,considering,STAY
zero,58143,38,0,208131,300,4,10,unsat,very_high,actively_looking_into_it,LEAVE
zero,53081,0,0,299546,288,1,15,unsat,avg,actively_looking_into_it,STAY
one,35434,67,6,328945,229,4,6,very_unsat,little,no,STAY
one,61364,0,67,195496,362,1,1,very_unsat,very_high,considering,STAY
zero,61114,84,14,299868,253,3,6,very_unsat,very_little,no,STAY
zero,44745,0,0,482098,185,4,10,very_unsat,very_little,considering,STAY
zero,84559,0,0,460870,319,0,8,unsat,very_high,considering,STAY
one,32232,0,0,974692,221,1,12,sat,little,considering,STAY
one,29825,0,0,205843,183,1,8,very_unsat,little,considering,STAY
one,56396,0,69,369240,294,1,2,very_unsat,very_high,considering,STAY
zero,75560,61,8,271803,318,4,4,very_sat,high,actively_looking_into_it,STAY
one,155671,151,16,160804,828,21,5,very_unsat,little,never_thought,LEAVE
zero,91020,211,34,937774,260,14,2,unsat,little,actively_looking_into_it,STAY
zero,102228,247,17,681849,479,11,6,very_unsat,very_high,considering,STAY
zero,112406,0,0,682332,590,0,1,very_sat,very_little,no,STAY
one,108312,56,5,340457,213,5,4,very_sat,very_high,considering,LEAVE
zero,36556,64,0,252021,205,5,9,unsat,avg,considering,STAY
one,37330,44,78,767772,144,3,8,unsat,very_high,no,STAY
one,101583,0,21,496604,431,1,4,sat,very_little,considering,STAY
zero,44555,58,10,364004,636,3,5,very_sat,little,actively_looking_into_it,LEAVE
one,142308,0,79,306426,497,1,1,sat,little,considering,STAY
zero,28253,147,11,596025,229,15,1,unsat,avg,actively_looking_into_it,LEAVE
one,91146,0,74,870447,267,1,1,very_sat,very_high,considering,STAY
one,103151,43,24,216621,686,5,6,very_sat,very_little,considering,STAY
one,34195,193,0,261007,173,18,9,very_sat,very_little,actively_looking_into_it,STAY
one,121809,69,0,346511,692,5,8,very_sat,very_little,actively_looking_into_it,STAY
zero,114969,0,19,295350,644,0,5,very_sat,little,actively_looking_into_it,STAY
zero,136003,0,33,189319,662,0,2,very_sat,very_high,actively_looking_into_it,STAY
zero,132516,0,30,443690,239,1,2,very_sat,little,no,STAY
zero,60000,0,73,740013,388,0,1,sat,avg,perhaps,STAY
one,101100,56,0,546291,560,3,9,avg,little,no,STAY
zero,114126,199,8,950871,875,24,4,very_unsat,avg,considering,STAY
one,67782,48,17,722228,315,1,5,very_unsat,little,actively_looking_into_it,STAY
one,141380,62,0,256826,652,5,8,very_unsat,very_high,considering,STAY
one,84692,33,45,503204,300,3,2,very_sat,little,no,STAY
zero,141798,68,23,224373,730,0,6,unsat,very_little,no,STAY
zero,71102,0,0,180593,336,0,13,very_sat,very_high,never_thought,LEAVE
one,75958,0,8,271711,193,1,4,very_unsat,little,considering,STAY
zero,41954,40,63,939739,232,5,1,very_unsat,very_little,considering,STAY
one,48000,0,50,573879,236,0,2,very_sat,little,actively_looking_into_it,STAY
one,89555,67,83,473979,392,4,4,very_unsat,high,actively_looking_into_it,STAY
zero,20165,0,0,376093,216,0,11,very_unsat,little,actively_looking_into_it,STAY
one,21175,63,0,285961,237,5,15,very_unsat,little,never_thought,STAY
one,28321,0,0,989420,181,1,12,unsat,little,perhaps,STAY
zero,110889,87,20,466708,502,3,4,unsat,little,considering,STAY
one,43557,226,0,406475,155,25,9,very_unsat,little,actively_looking_into_it,STAY
zero,37174,49,81,165978,144,3,2,very_unsat,high,considering,LEAVE
zero,130956,225,0,529086,818,10,11,unsat,very_little,considering,LEAVE
zero,119854,0,10,199373,418,1,2,very_unsat,little,considering,STAY
one,100069,63,0,226655,147,3,11,very_unsat,very_little,never_thought,STAY
zero,73803,215,89,356757,285,17,1,very_sat,very_high,considering,STAY
one,86275,0,5,268483,264,1,6,very_sat,high,considering,STAY
one,96971,46,76,229917,204,5,1,avg,little,considering,STAY
zero,140853,48,83,271796,822,5,2,unsat,little,no,STAY
zero,116374,68,64,201641,466,5,1,very_sat,avg,never_thought,STAY
one,38385,258,78,378257,239,19,1,unsat,very_high,actively_looking_into_it,STAY
