Name,Platform,Genre,Rating,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
Terraria,PSV,Action,T,85,17,77,112,0.1
Agatha Christie: The ABC Murders,DS,Adventure,T,53,11,64,4,0.1
Jade Cocoon 2,PS2,Role-Playing,T,76,16,77,22,0.1
Van Helsing,GBA,Action,T,33,11,62,6,0.1
Harry Potter and the Deathly Hallows - Part 1,PC,Action,T,37,5,40,33,0.1
The Bard's Tale,XB,Role-Playing,T,75,50,87,4,0.1
Alien Hominid,PS2,Shooter,T,78,47,82,13,0.1
Tom Clancy's Splinter Cell,GBA,Action,T,77,21,85,8,0.1
Rolling Stone: Drum King,Wii,Misc,T,32,4,17,4,0.1
King's Field: The Ancient City,PS2,Role-Playing,T,60,14,84,13,0.1
X-Men: Destiny,Wii,Action,T,36,10,44,15,0.1
Harvey Birdman: Attorney at Law,PSP,Adventure,T,62,19,79,8,0.1
Universal Studios Theme Parks Adventure,GC,Misc,T,39,11,28,11,0.1
Rocky: Legends,XB,Action,T,67,21,51,6,0.1
Ultra Street Fighter IV,PS4,Fighting,T,71,28,58,94,0.1
EVE: Valkyrie,PS4,Shooter,T,73,26,62,37,0.1
Dragon Ball: Evolution,PSP,Fighting,T,28,16,8,50,0.1
The Crew: Wild Run,PS4,Action,T,73,13,67,50,0.1
Thor: God of Thunder,3DS,Action,T,55,10,41,5,0.1
Guilty Gear Isuka,PS2,Fighting,T,73,39,74,13,0.1
Heatseeker,Wii,Action,T,62,25,61,32,0.1
Ar tonelico: Melody of Elemia,PS2,Role-Playing,T,71,30,76,43,0.1
Castlevania Double Pack,GBA,Platform,T,86,4,83,12,0.1
Samurai Warriors 4: Empires,PS4,Action,T,71,29,64,15,0.1
Steel Battalion,XB,Simulation,T,83,20,84,20,0.1
Power Stone Collection,PSP,Action,T,74,34,67,6,0.1
SNK vs. Capcom Card Fighters DS,DS,Strategy,T,48,19,47,6,0.1
Medieval II: Total War,PC,Strategy,T,88,39,88,648,0.1
Minority Report: Everybody Runs,XB,Action,T,54,18,49,4,0.1
One Piece: Burning Blood,PSV,Fighting,T,62,4,77,10,0.1
Ultimate Marvel vs. Capcom 3,PS3,Fighting,T,80,36,61,114,0.09
Crash 'N' Burn,XB,Racing,T,65,25,63,7,0.09
Bladestorm: The Hundred Years' War,X360,Action,T,63,26,67,16,0.09
Forever Kingdom,PS2,Role-Playing,T,64,13,77,6,0.09
Altered Beast: Guardian of the Realms,GBA,Action,T,63,13,47,4,0.09
The Legend of Heroes: A Tear of Vermillion,PSP,Role-Playing,T,68,24,76,26,0.09
Raven Squad: Operation Hidden Dagger,X360,Shooter,T,38,22,34,37,0.09
Age of Empires II: The Age of Kings,PC,Strategy,T,92,21,89,801,0.09
Shining Tears,PS2,Role-Playing,T,61,14,64,11,0.09
Gradius V,PS2,Shooter,T,82,46,84,13,0.09
Medal of Honor: Vanguard,Wii,Shooter,T,56,29,69,24,0.09
Arcania: Gothic 4,X360,Role-Playing,T,64,21,51,52,0.09
Psychonauts,PS2,Platform,T,86,33,86,61,0.09
Digimon Rumble Arena 2,PS2,Fighting,T,63,9,72,23,0.09
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,Action,T,44,49,54,163,0.09
Alien Hominid,GC,Shooter,T,78,28,84,15,0.09
Rygar: The Battle of Argus,Wii,Action,T,52,29,69,4,0.09
Trivial Pursuit unhinged,XB,Misc,T,58,10,79,4,0.09
I-Ninja,GC,Platform,T,77,18,75,8,0.09
Wild ARMs: Alter Code F,PS2,Role-Playing,T,73,25,82,26,0.09
Metal Slug X,PS,Shooter,T,85,9,87,31,0.09
Romance of the Three Kingdoms X,PS2,Strategy,T,71,13,84,10,0.09
Prinny: Can I Really Be the Hero?,PSP,Platform,T,72,45,69,41,0.09
Fighting Fantasy: The Warlock of Firetop Mountain,DS,Role-Playing,T,45,10,80,31,0.09
Skies of Arcadia,DC,Role-Playing,T,93,21,93,98,0.09
Project Eden,PS2,Action,T,71,20,77,8,0.09
Riviera: The Promised Land,PSP,Role-Playing,T,68,11,76,17,0.09
Ghosthunter,PS2,Action,T,69,44,86,22,0.09
Shadow of Destiny,PSP,Adventure,T,54,6,81,5,0.09
Mimana Iyar Chronicle,PSP,Role-Playing,T,45,6,57,8,0.09
Tom Clancy's EndWar,DS,Strategy,T,69,11,57,4,0.09
JASF: Jane's Advanced Strike Fighters,X360,Simulation,T,45,5,44,8,0.09
Disgaea Infinite,PSP,Adventure,T,64,15,43,40,0.09
Phantom Brave: The Hermuda Triangle,PSP,Role-Playing,T,65,16,72,11,0.09
Fullmetal Alchemist: Dual Sympathy,DS,Role-Playing,T,58,15,72,12,0.09
Spectral Force Genesis,DS,Role-Playing,T,46,8,69,5,0.09
Last Rebellion,PS3,Role-Playing,T,44,30,45,34,0.09
Mystic Heroes,GC,Action,T,67,13,84,26,0.09
Zoids Assault,X360,Strategy,T,46,17,72,7,0.09
Arslan: The Warriors of Legend,PS4,Action,T,69,43,65,23,0.09
Freestyle Metal X,PS2,Racing,T,67,25,82,17,0.09
Dark Angel: Vampire Apocalypse,PS2,Role-Playing,T,53,9,55,5,0.09
Transworld Snowboarding,XB,Sports,T,74,14,91,14,0.09
Test Drive: Eve of Destruction,XB,Racing,T,72,28,86,7,0.09
Blazblue: Continuum Shift Extend,PS3,Fighting,T,73,6,74,27,0.09
Crimson Sea,XB,Action,T,78,19,81,10,0.09
Viewtiful Joe: Red Hot Rumble,PSP,Action,T,63,24,62,6,0.09
The Mummy: Tomb of the Dragon Emperor,Wii,Action,T,39,7,63,5,0.09
Knights in the Nightmare,PSP,Role-Playing,T,75,10,76,7,0.09
Terraria,3DS,Action,T,71,6,70,21,0.09
Spectral Force 3,X360,Role-Playing,T,59,16,74,19,0.09
Battle Fantasia,X360,Fighting,T,71,22,65,8,0.09
Fire Pro Wrestling Returns,PS2,Sports,T,78,12,84,17,0.09
Samurai Warriors 2: Xtreme Legends,PS2,Action,T,50,11,79,9,0.09
Spider-Man: Edge of Time,Wii,Action,T,62,9,51,6,0.09
Jumper: Griffin's Story,Wii,Action,T,28,5,24,11,0.09
Forgotten Realms: Demon Stone,XB,Action,T,72,17,64,6,0.09
Data East Arcade Classics,Wii,Misc,T,56,7,81,5,0.09
Wizardry: Tale of the Forsaken Land,PS2,Role-Playing,T,70,14,74,6,0.09
Lara Croft and the Temple of Osiris,PS4,Action,T,74,40,66,128,0.09
The Sims 2: Apartment Life,PC,Simulation,T,75,10,76,19,0.09
Age of Mythology,PC,Strategy,T,89,31,88,484,0.09
MetropolisMania,PS2,Strategy,T,63,5,70,16,0.09
Ephemeral Fantasia,PS2,Role-Playing,T,48,16,62,39,0.08
Gray Matter,PC,Adventure,T,72,27,76,80,0.08
America's Army: True Soldiers,X360,Shooter,T,43,11,66,55,0.08
Star Wars: Empire at War,PC,Strategy,T,79,45,83,240,0.08
BlazBlue Central Fiction,PS4,Fighting,T,85,21,75,39,0.08
Sega GT Online,XB,Racing,T,72,32,91,5,0.08
Knights in the Nightmare,DS,Role-Playing,T,76,25,85,23,0.08
Captain America: Super Soldier,3DS,Action,T,51,9,49,6,0.08
Onimusha Tactics,GBA,Strategy,T,64,21,86,7,0.08
Mad Dog McCree: Gunslinger Pack,Wii,Shooter,T,31,6,49,11,0.08
Blacksite: Area 51,PS3,Shooter,T,56,23,62,18,0.08
Harvey Birdman: Attorney at Law,Wii,Adventure,T,60,28,77,5,0.08
Aliens versus Predator: Extinction,XB,Strategy,T,64,19,76,21,0.08
RTX Red Rock,PS2,Shooter,T,49,23,49,4,0.08
Shining Force: Resurrection of the Dark Dragon,GBA,Role-Playing,T,77,20,87,15,0.08
Metal Slug Advance,GBA,Shooter,T,79,32,82,14,0.08
Blazing Angels: Squadrons of WWII,XB,Simulation,T,69,19,67,4,0.08
God Eater Resurrection,PS4,Action,T,70,18,77,44,0.08
Miami Nights: Singles in the City,DS,Simulation,T,48,6,70,7,0.08
Battleborn,PC,Shooter,T,69,34,68,400,0.08
Agatha Christie: Evil Under the Sun,Wii,Adventure,T,46,6,72,6,0.08
Don King Boxing,DS,Sports,T,71,4,77,5,0.08
Seven Samurai 20XX,PS2,Action,T,52,31,69,6,0.08
Tom Clancy's Splinter Cell: Pandora Tomorrow,GC,Action,T,78,25,79,11,0.08
Battlefield 2,PC,Shooter,T,91,55,83,837,0.08
Persona 4: Arena Ultimax,X360,Fighting,T,85,15,73,35,0.08
The King of Fighters 2006,PS2,Fighting,T,66,23,85,17,0.08
Nobunaga's Ambition: Rise to Power,PS2,Strategy,T,70,7,87,6,0.08
The Italian Job,XB,Racing,T,54,22,57,5,0.08
Smuggler's Run: Warzones,GC,Misc,T,79,23,68,11,0.08
Warriors Orochi 3 Hyper,WiiU,Action,T,64,18,73,31,0.08
Space Channel 5 Special Edition,PS2,Misc,T,79,16,85,10,0.08
The Legend of Alon D'ar,PS2,Role-Playing,T,43,14,66,10,0.08
Big Mutha Truckers,GC,Racing,T,63,5,81,6,0.08
Super Robot Taisen OG Saga: Endless Frontier,DS,Role-Playing,T,73,22,89,22,0.08
Incredible Crisis,PS,Action,T,80,11,74,11,0.08
The King of Fighters EX2: Howling Blood,GBA,Fighting,T,80,10,90,10,0.08
Hidden Invasion,PS2,Shooter,T,39,4,57,4,0.08
Armored Core 3 Portable,PSP,Simulation,T,43,6,66,6,0.08
Batman: Dark Tomorrow,GC,Action,T,29,14,31,19,0.08
The First Templar,PC,Action,T,57,19,57,60,0.08
Earth Defense Force 2017,X360,Action,T,69,55,76,60,0.08
Tomb Raider: Legend,GC,Action,T,78,6,77,8,0.08
From Russia With Love,PSP,Action,T,61,33,68,12,0.08
Lost Dimension,PSV,Role-Playing,T,72,28,82,35,0.08
Tomb Raider: Underworld,PC,Action,T,80,20,76,272,0.08
X Rebirth,PC,Simulation,T,33,24,32,1340,0.08
World Series of Poker 2008: Battle for the Bracelets,X360,Misc,T,74,10,66,6,0.08
Phantasy Star Online Episode III: C.A.R.D. Revolution,GC,Role-Playing,T,71,24,81,13,0.08
Samurai Warriors 2,X360,Action,T,52,30,86,18,0.08
Silent Hunter III,PC,Simulation,T,90,23,78,95,0.08
Alien Syndrome,PSP,Role-Playing,T,51,20,59,9,0.08
Endgame,PS2,Shooter,T,57,12,67,5,0.08
WWE Crush Hour,GC,Racing,T,55,14,69,5,0.08
C.O.P.: The Recruit,DS,Action,T,55,38,74,13,0.08
Urban Reign,PS2,Action,T,60,44,81,26,0.08
Samurai Warriors Chronicles 3,3DS,Action,T,63,13,60,10,0.08
Need For Speed: Undercover,PC,Racing,T,65,18,48,231,0.08
Need for Speed: Most Wanted,PC,Racing,T,82,19,84,525,0.08
Stella Deus: The Gate of Eternity,PS2,Strategy,T,75,31,79,9,0.08
Conflict: Desert Storm,GC,Shooter,T,62,19,83,13,0.08
Medal of Honor: Underground,GBA,Shooter,T,46,5,16,11,0.08
Dynasty Warriors 3,XB,Action,T,70,11,88,20,0.08
MTV Music Generator 3: This Is the Remix,XB,Misc,T,79,26,53,10,0.08
Grand Ages: Medieval,PS4,Strategy,T,64,10,70,12,0.07
Baroque,Wii,Role-Playing,T,50,22,80,24,0.07
Lost Dimension,PS3,Role-Playing,T,71,18,72,27,0.07
Agatha Christie: And Then There Were None,Wii,Adventure,T,50,23,61,12,0.07
Futurama,PS2,Platform,T,59,22,65,14,0.07
The History Channel: Battle for the Pacific,PS3,Shooter,T,36,7,23,15,0.07
Need for Speed Underground 2,PC,Racing,T,82,31,84,407,0.07
Gladius,GC,Strategy,T,82,19,87,12,0.07
The Hustle: Detroit Streets,PSP,Sports,T,51,11,52,4,0.07
Torchlight,PC,Role-Playing,T,83,57,79,794,0.07
Rogue Trooper: Quartz Zone Massacre,Wii,Shooter,T,70,14,81,5,0.07
Damage Inc.: Pacific Squadron WWII,X360,Simulation,T,49,24,54,6,0.07
Smashing Drive,GC,Racing,T,47,18,51,6,0.07
Godai: Elemental Force,PS2,Action,T,27,10,37,19,0.07
I-Ninja,XB,Platform,T,75,18,83,8,0.07
The Lord of the Rings: The Battle for Middle-Earth,PC,Strategy,T,82,42,85,199,0.07
Kessen III,PS2,Strategy,T,73,26,80,20,0.07
The King of Fighters Collection: The Orochi Saga,PSP,Fighting,T,61,16,69,9,0.07
Wrath Unleashed,PS2,Strategy,T,64,25,59,6,0.07
Commandos 2: Men of Courage,XB,Strategy,T,67,12,83,5,0.07
Emergency 2012,PC,Simulation,T,61,9,61,12,0.07
Fairy Fencer F: Advent Dark Force,PS4,Role-Playing,T,71,21,61,34,0.07
TMNT: Mutant Melee,GC,Fighting,T,44,16,27,4,0.07
Stacked with Daniel Negreanu,PS2,Misc,T,63,23,52,7,0.07
Circus Maximus: Chariot Wars,XB,Racing,T,67,26,49,4,0.07
Tom Clancy's Ghost Recon 2,GC,Shooter,T,54,10,13,11,0.07
James Cameron's Dark Angel,XB,Action,T,47,17,82,6,0.07
Galerians: Ash,PS2,Adventure,T,50,22,78,11,0.07
Grand Kingdom,PS4,Role-Playing,T,78,33,80,63,0.07
Tom Clancy's Splinter Cell: Chaos Theory,DS,Action,T,50,22,69,25,0.07
Second Sight,XB,Adventure,T,75,46,79,6,0.07
Vanguard Bandits,PS,Strategy,T,62,5,73,15,0.07
Samurai Warriors,XB,Action,T,71,20,89,5,0.07
Record of Agarest War,PS3,Role-Playing,T,67,7,67,34,0.07
SNK Arcade Classics Vol. 1,Wii,Misc,T,73,18,79,4,0.07
Ghost in the Shell: Stand Alone Complex,PSP,Adventure,T,61,23,73,14,0.07
Drake of the 99 Dragons,XB,Shooter,T,22,16,17,37,0.07
Crimson Sea 2,PS2,Action,T,75,27,82,6,0.07
Tokyo Twilight Ghost Hunters,PSV,Role-Playing,T,63,12,69,16,0.07
Earth Defense Force 2: Invaders from Planet Space,PSV,Action,T,72,20,84,22,0.07
Dynasty Warriors 8: Empires,XOne,Action,T,58,10,67,15,0.07
Catwoman,GC,Action,T,47,24,60,7,0.07
Mugen Souls Z,PS3,Role-Playing,T,57,26,63,56,0.07
Silpheed: The Lost Planet,PS2,Shooter,T,72,12,74,4,0.07
River City Ransom EX,GBA,Action,T,75,21,83,7,0.07
Crazy Taxi 2,DC,Racing,T,82,18,80,29,0.07
The Sims 2: Seasons,PC,Simulation,T,78,20,72,29,0.07
Robot Alchemic Drive,PS2,Action,T,79,21,81,13,0.07
Tomb Raider: Legend,DS,Action,T,58,15,79,7,0.07
Warhammer: Battle For Atluma,PSP,Action,T,55,8,73,8,0.07
Operation: Vietnam,DS,Shooter,T,65,16,62,4,0.07
Fighter Maker 2,PS2,Fighting,T,58,11,77,5,0.07
Dragon Valor,PS,Role-Playing,T,57,9,82,10,0.07
Ultimate Marvel vs. Capcom 3,X360,Fighting,T,79,44,61,85,0.07
Assassin's Creed Chronicles,PSV,Action,T,70,6,79,24,0.07
Jurassic Park: Operation Genesis,XB,Simulation,T,69,21,87,19,0.07
Future Tactics: The Uprising,PS2,Strategy,T,61,25,59,6,0.07
Top Gun,PS3,Simulation,T,49,25,43,5,0.07
Dragon Ball Z: Battle of Z,X360,Fighting,T,53,17,50,44,0.07
The King of Fighters 02/03,PS2,Fighting,T,73,28,87,14,0.07
Port Royale 3,X360,Simulation,T,56,11,44,6,0.07
Armored Core: Nine Breaker,PS2,Simulation,T,57,25,81,5,0.07
Terraria,PS4,Action,T,83,4,78,47,0.07
Worms 3D,GC,Strategy,T,69,23,75,19,0.07
TRON: Evolution,PC,Action,T,57,11,59,25,0.07
The Guided Fate Paradox,PS3,Role-Playing,T,74,27,77,66,0.07
Alex Rider: Stormbreaker,DS,Action,T,48,11,60,10,0.07
"Flower, Sun, and Rain",DS,Adventure,T,54,37,70,15,0.07
Worms Forts: Under Siege,XB,Strategy,T,67,15,79,6,0.07
Broken Sword 5: The Serpent's Curse,PS4,Adventure,T,72,14,71,23,0.07
Alan Wake,PC,Action,T,83,30,79,1473,0.06
Wings of War,XB,Simulation,T,62,29,49,5,0.06
World Poker Tour,XB,Misc,T,63,17,77,4,0.06
Age of Empires III: The Asian Dynasties,PC,Strategy,T,81,19,84,71,0.06
Samurai Warriors Chronicles 3,PSV,Action,T,70,9,78,14,0.06
One Piece: Unlimited World Red,WiiU,Action,T,66,11,77,43,0.06
Aggressive Inline,XB,Sports,T,85,20,76,7,0.06
XGRA: Extreme G Racing Association,PS2,Racing,T,68,23,85,8,0.06
Tournament of Legends,Wii,Fighting,T,45,38,68,11,0.06
Mobile Suit Gundam Seed: Never Ending Tomorrow,PS2,Shooter,T,45,16,77,10,0.06
Crimson Gem Saga,PSP,Role-Playing,T,78,20,74,30,0.06
Legend of the Dragon,Wii,Fighting,T,37,14,47,5,0.06
Cel Damage,GC,Racing,T,67,12,67,11,0.06
Mirror's Edge Catalyst,PC,Platform,T,74,24,43,606,0.06
Arc the Lad: End of Darkness,PS2,Role-Playing,T,59,24,41,10,0.06
Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,Action,T,68,19,61,6,0.06
"Warhammer 40,000: Squad Command",DS,Strategy,T,57,21,78,16,0.06
One Piece: Burning Blood,XOne,Fighting,T,60,10,57,12,0.06
Bionicle Heroes,DS,Shooter,T,72,11,63,15,0.06
Mystic Heroes,PS2,Action,T,67,7,85,14,0.06
Unchained Blades ,PSP,Role-Playing,T,61,8,74,15,0.06
Nights of Azure,PS4,Action,T,67,40,75,71,0.06
Earth Defense Force 2017 Portable,PSV,Action,T,68,36,78,31,0.06
Giants: Citizen Kabuto,PS2,Shooter,T,79,15,68,8,0.06
Grand Kingdom,PSV,Role-Playing,T,76,11,87,33,0.06
Alien Syndrome,Wii,Role-Playing,T,48,24,70,23,0.06
Vexx,GC,Platform,T,71,22,72,6,0.06
Secret Files: Tunguska,Wii,Adventure,T,65,12,75,8,0.06
Terminator 3: The Redemption,XB,Shooter,T,66,38,85,5,0.06
Call of Duty 2,PC,Shooter,T,86,64,83,626,0.06
Coded Arms: Contagion,PSP,Shooter,T,56,20,65,28,0.06
Commandos: Strike Force,PS2,Shooter,T,58,26,84,11,0.06
Mobile Suit Gundam: Gundam vs. Zeta Gundam,PS2,Shooter,T,57,16,85,11,0.06
Guilty Gear X: Advance Edition,GBA,Fighting,T,67,14,58,10,0.06
Warriors of the Lost Empire,PSP,Role-Playing,T,52,6,73,12,0.06
Broken Sword: The Shadow of the Templars,GBA,Adventure,T,80,17,77,10,0.06
Lord of Magna: Maiden Heaven,3DS,Role-Playing,T,68,16,77,36,0.06
Worms 3D,XB,Strategy,T,69,20,83,10,0.06
Dragon Rage,PS2,Shooter,T,50,9,63,9,0.06
Jumper: Griffin's Story,X360,Action,T,29,16,32,30,0.06
Tron 2.0: Killer App,XB,Action,T,69,36,42,4,0.06
The Fast and the Furious,PS2,Racing,T,59,22,65,24,0.06
The History Channel: Battle for the Pacific,X360,Shooter,T,35,11,60,21,0.06
Exist Archive: The Other Side of the Sky,PSV,Role-Playing,T,71,8,82,12,0.06
Fatal Frame,XB,Action,T,77,17,85,16,0.06
Tom Clancy's Ghost Recon: Advanced Warfighter,PS2,Shooter,T,44,8,45,41,0.06
Catwoman,XB,Action,T,45,33,45,5,0.06
Top Gun: Hard Lock,X360,Action,T,54,8,34,16,0.06
Warriors Orochi 2,X360,Action,T,44,28,80,15,0.06
Street Fighter V,PC,Fighting,T,74,33,28,431,0.06
Samurai Shodown Anthology,Wii,Fighting,T,74,6,81,5,0.06
Samurai Jack: The Shadow of Aku,PS2,Action,T,59,21,83,10,0.06
Tropico 5,X360,Simulation,T,71,4,71,9,0.06
Lost Kingdoms II,GC,Role-Playing,T,68,25,90,14,0.06
Aggressive Inline,GC,Sports,T,88,16,77,5,0.06
Viewtiful Joe: Red Hot Rumble,GC,Action,T,62,27,68,8,0.06
The Sims 2: University,PC,Simulation,T,81,31,77,49,0.06
Generation of Chaos,PSP,Role-Playing,T,60,29,76,18,0.06
Pump It Up: Exceed,PS2,Misc,T,73,28,83,11,0.06
Tokyo Twilight Ghost Hunters,PS3,Role-Playing,T,64,11,63,17,0.06
Hail to the Chimp,X360,Misc,T,52,23,60,7,0.06
Mirror's Edge,PC,Platform,T,81,44,80,1026,0.06
Titan Quest,PC,Role-Playing,T,77,51,80,387,0.06
Izuna 2: The Unemployed Ninja Returns,DS,Role-Playing,T,65,18,78,13,0.06
Gothic 3,PC,Role-Playing,T,63,39,72,519,0.06
Wing Commander: Prophecy,GBA,Simulation,T,70,8,82,7,0.05
Captain America: Super Soldier,Wii,Action,T,57,16,59,6,0.05
Front Mission Evolved,PC,Shooter,T,63,13,50,48,0.05
Dynasty Warriors 5,XB,Action,T,66,22,79,4,0.05
Neverland Card Battles,PSP,Role-Playing,T,57,14,77,12,0.05
IL-2 Sturmovik: Cliffs of Dover,PC,Simulation,T,60,13,70,114,0.05
Death Jr. II: Root of Evil,PSP,Platform,T,68,34,72,9,0.05
Samurai Champloo: Sidetracked,PS2,Action,T,66,26,71,6,0.05
Medal of Honor: Airborne,PC,Shooter,T,78,38,72,204,0.05
Men of War: Assault Squad,PC,Strategy,T,77,21,81,93,0.05
Otogi 2: Immortal Warriors,XB,Action,T,79,43,82,12,0.05
Lucha Libre AAA: Heroes del Ring,X360,Fighting,T,49,11,62,12,0.05
Tom Clancy's HAWX 2,PC,Action,T,66,12,37,47,0.05
Shifters,PS2,Adventure,T,37,12,58,8,0.05
Bladestorm: Nightmare,XOne,Action,T,48,6,70,8,0.05
TNA iMPACT: Cross the Line,PSP,Fighting,T,50,6,64,4,0.05
Venetica,PC,Role-Playing,T,61,17,67,51,0.05
Metal Slug Anthology,PSP,Shooter,T,78,26,73,25,0.05
Back to the Future: The Game,Wii,Adventure,T,66,7,40,9,0.05
Phantom Crash,XB,Simulation,T,74,23,82,14,0.05
Tenchu: Dark Secret,DS,Action,T,37,10,50,7,0.05
Second Sight,GC,Adventure,T,77,34,84,13,0.05
Rave Master,GC,Fighting,T,60,15,62,4,0.05
Hail to the Chimp,PS3,Misc,T,51,19,44,4,0.05
Alias,XB,Action,T,64,37,59,4,0.05
Guilty Gear Dust Strikers,DS,Fighting,T,60,25,57,9,0.05
Dark Summit,GC,Sports,T,68,16,44,4,0.05
Star Wars: Republic Commando,PC,Shooter,T,78,34,86,279,0.05
Secret Files: Tunguska,DS,Adventure,T,71,6,75,5,0.05
Stretch Panic,PS2,Platform,T,65,14,77,4,0.05
Metroid Prime: Federation Force,3DS,Action,T,64,56,50,219,0.05
DiRT 2,PC,Racing,T,89,22,81,352,0.05
Hatsune Miku: Project Diva X,PS4,Misc,T,78,22,73,41,0.05
Grand Ages: Medieval,PC,Strategy,T,63,11,53,52,0.05
Deadliest Catch: Alaskan Storm,X360,Sports,T,56,14,58,15,0.05
Dynasty Warriors Vol. 2,PSP,Action,T,57,28,80,8,0.05
Freelancer,PC,Simulation,T,85,39,89,185,0.05
The Lord of the Rings: The Battle for Middle-Earth II,X360,Strategy,T,79,50,74,83,0.05
Empire Earth,PC,Strategy,T,81,23,81,126,0.05
StarCraft,PC,Strategy,T,88,15,90,813,0.05
B-Boy,PSP,Misc,T,50,11,77,6,0.05
Kakuto Chojin,XB,Fighting,T,46,26,71,17,0.05
Moon,DS,Adventure,T,71,45,73,21,0.05
NightCaster II: Equinox,XB,Action,T,46,12,69,4,0.05
Time Crisis: Project Titan,PS,Shooter,T,71,13,66,6,0.05
The Sims,PC,Simulation,T,92,38,78,451,0.05
Cabela's Trophy Bucks,X360,Sports,T,39,4,29,4,0.05
XCOM 2,XOne,Strategy,T,87,17,80,40,0.05
Rock of the Dead,X360,Shooter,T,48,7,47,4,0.05
Silent Hunter: Wolves of the Pacific,PC,Simulation,T,79,22,68,40,0.05
Wrath Unleashed,XB,Strategy,T,69,32,69,4,0.05
Double Dragon Advance,GBA,Action,T,75,21,83,5,0.05
Yager,XB,Shooter,T,70,19,92,9,0.05
Futurama,XB,Platform,T,58,21,68,14,0.05
Assassin's Creed: Altair's Chronicles,DS,Platform,T,58,30,62,30,0.05
Fantastic Four: Rise of the Silver Surfer,Wii,Action,T,39,16,58,15,0.05
Art of Fighting Anthology,PS2,Fighting,T,60,19,69,4,0.04
Lux-Pain,DS,Adventure,T,48,33,61,18,0.04
Guilty Gear XX Accent Core,PS2,Fighting,T,77,9,82,16,0.04
Operation Flashpoint: Elite,XB,Shooter,T,64,24,82,27,0.04
Tropico 3,PC,Strategy,T,79,48,80,184,0.04
Boktai 2: Solar Boy Django,GBA,Role-Playing,T,78,20,84,11,0.04
Battlezone,PS4,Action,T,66,39,69,31,0.04
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,Action,T,55,14,59,38,0.04
Runaway: A Twist of Fate,PC,Adventure,T,79,15,81,40,0.04
FlatOut 2,XB,Racing,T,73,38,72,8,0.04
Rogue Trooper,PS2,Shooter,T,71,37,81,9,0.04
Tom Clancy's HAWX,PC,Action,T,70,23,72,125,0.04
Castle of Shikigami III,Wii,Shooter,T,67,9,75,9,0.04
Nobunaga's Ambition: Sphere of Influence,PS4,Strategy,T,80,20,80,46,0.04
WarTech: Senko no Ronde,X360,Fighting,T,60,33,60,7,0.04
IL-2 Sturmovik: 1946,PC,Simulation,T,86,9,87,115,0.04
Praetorians,PC,Strategy,T,78,23,81,38,0.04
Brothers: A Tale of Two Sons,XOne,Adventure,T,81,6,88,26,0.04
Attack of the Movies 3D,X360,Shooter,T,38,8,16,10,0.04
Secret Files: Tunguska,PC,Adventure,T,66,26,73,38,0.04
Nitroplus Blasterz: Heroines Infinite Duel,PS4,Fighting,T,70,33,68,28,0.04
Bloody Roar Extreme,XB,Fighting,T,61,22,85,9,0.04
Digimon Rumble Arena 2,GC,Fighting,T,71,5,80,7,0.04
Hellboy: The Science of Evil,PSP,Action,T,42,14,70,13,0.04
The Sims Deluxe,PC,Simulation,T,92,6,81,77,0.04
The Sims 2: Pets,PC,Simulation,T,76,23,76,40,0.04
Blood Bowl,PC,Sports,T,72,34,64,57,0.04
Port Royale 2,PC,Strategy,T,75,20,76,40,0.04
Guilty Gear XX Accent Core,Wii,Fighting,T,75,15,83,19,0.04
WarJetz,PS2,Shooter,T,59,9,54,4,0.04
Heroes of Might and Magic V,PC,Strategy,T,77,41,78,349,0.04
Aeon Flux,PS2,Action,T,66,19,57,9,0.04
Age of Mythology: The Titans,PC,Strategy,T,84,25,86,119,0.04
Psycho-Pass: Mandatory Happiness,PS4,Adventure,T,72,26,82,19,0.04
Shattered Union,XB,Strategy,T,66,17,68,7,0.04
Unchained Blades ,3DS,Role-Playing,T,65,8,77,16,0.04
Terraria,XOne,Action,T,84,5,76,29,0.04
Worms 4: Mayhem,XB,Strategy,T,69,27,91,6,0.04
Rise of Nations,PC,Strategy,T,89,30,89,274,0.04
Men of War: Vietnam,PC,Strategy,T,68,19,48,35,0.04
Imperial Glory,PC,Strategy,T,69,28,83,73,0.04
Samurai Warriors 2: Empires,X360,Action,T,53,29,84,13,0.04
Metal Slug XX,PSP,Shooter,T,67,22,60,9,0.04
The Da Vinci Code,XB,Action,T,52,34,27,5,0.04
SWAT: Target Liberty,PSP,Shooter,T,50,26,76,9,0.04
Bomberman: Act Zero,X360,Puzzle,T,34,41,21,42,0.04
Empire Earth III,PC,Strategy,T,50,40,27,53,0.04
JASF: Jane's Advanced Strike Fighters,PC,Simulation,T,48,4,30,14,0.04
Brothers In Arms DS,DS,Shooter,T,72,27,79,25,0.04
Stolen,PS2,Action,T,51,16,73,16,0.04
Stoked: Big Air Edition,X360,Sports,T,72,21,76,16,0.04
Pro Race Driver,XB,Racing,T,80,17,74,4,0.04
The Movies,PC,Simulation,T,84,62,82,131,0.04
Lost Planet 3,PC,Shooter,T,61,17,61,210,0.04
Echo Night Beyond,PS2,Adventure,T,60,22,87,8,0.04
